step:394/1190 train_time:17630ms step_avg:44.75ms
step:395/1190 train_time:17677ms step_avg:44.75ms
step:396/1190 train_time:17736ms step_avg:44.79ms
step:397/1190 train_time:17783ms step_avg:44.79ms
step:398/1190 train_time:17840ms step_avg:44.82ms
step:399/1190 train_time:17887ms step_avg:44.83ms
step:400/1190 train_time:17944ms step_avg:44.86ms
step:401/1190 train_time:17993ms step_avg:44.87ms
step:402/1190 train_time:18050ms step_avg:44.90ms
step:403/1190 train_time:18098ms step_avg:44.91ms
step:404/1190 train_time:18155ms step_avg:44.94ms
step:405/1190 train_time:18203ms step_avg:44.95ms
step:406/1190 train_time:18259ms step_avg:44.97ms
step:407/1190 train_time:18308ms step_avg:44.98ms
step:408/1190 train_time:18365ms step_avg:45.01ms
step:409/1190 train_time:18412ms step_avg:45.02ms
step:410/1190 train_time:18470ms step_avg:45.05ms
step:411/1190 train_time:18517ms step_avg:45.05ms
step:412/1190 train_time:18575ms step_avg:45.09ms
step:413/1190 train_time:18623ms step_avg:45.09ms
step:414/1190 train_time:18680ms step_avg:45.12ms
step:415/1190 train_time:18728ms step_avg:45.13ms
step:416/1190 train_time:18785ms step_avg:45.16ms
step:417/1190 train_time:18833ms step_avg:45.16ms
step:418/1190 train_time:18891ms step_avg:45.19ms
step:419/1190 train_time:18938ms step_avg:45.20ms
step:420/1190 train_time:18997ms step_avg:45.23ms
step:421/1190 train_time:19044ms step_avg:45.24ms
step:422/1190 train_time:19101ms step_avg:45.26ms
step:423/1190 train_time:19149ms step_avg:45.27ms
step:424/1190 train_time:19206ms step_avg:45.30ms
step:425/1190 train_time:19254ms step_avg:45.30ms
step:426/1190 train_time:19313ms step_avg:45.33ms
step:427/1190 train_time:19360ms step_avg:45.34ms
step:428/1190 train_time:19417ms step_avg:45.37ms
step:429/1190 train_time:19465ms step_avg:45.37ms
step:430/1190 train_time:19522ms step_avg:45.40ms
step:431/1190 train_time:19569ms step_avg:45.40ms
step:432/1190 train_time:19627ms step_avg:45.43ms
step:433/1190 train_time:19675ms step_avg:45.44ms
step:434/1190 train_time:19732ms step_avg:45.47ms
step:435/1190 train_time:19781ms step_avg:45.47ms
step:436/1190 train_time:19838ms step_avg:45.50ms
step:437/1190 train_time:19885ms step_avg:45.50ms
step:438/1190 train_time:19942ms step_avg:45.53ms
step:439/1190 train_time:19990ms step_avg:45.54ms
step:440/1190 train_time:20048ms step_avg:45.56ms
step:441/1190 train_time:20095ms step_avg:45.57ms
step:442/1190 train_time:20152ms step_avg:45.59ms
step:443/1190 train_time:20200ms step_avg:45.60ms
step:444/1190 train_time:20257ms step_avg:45.62ms
step:445/1190 train_time:20305ms step_avg:45.63ms
step:446/1190 train_time:20362ms step_avg:45.65ms
step:447/1190 train_time:20410ms step_avg:45.66ms
step:448/1190 train_time:20468ms step_avg:45.69ms
step:449/1190 train_time:20515ms step_avg:45.69ms
step:450/1190 train_time:20572ms step_avg:45.72ms
step:451/1190 train_time:20620ms step_avg:45.72ms
step:452/1190 train_time:20678ms step_avg:45.75ms
step:453/1190 train_time:20725ms step_avg:45.75ms
step:454/1190 train_time:20783ms step_avg:45.78ms
step:455/1190 train_time:20830ms step_avg:45.78ms
step:456/1190 train_time:20890ms step_avg:45.81ms
step:457/1190 train_time:20935ms step_avg:45.81ms
step:458/1190 train_time:20993ms step_avg:45.84ms
step:459/1190 train_time:21041ms step_avg:45.84ms
step:460/1190 train_time:21098ms step_avg:45.86ms
step:461/1190 train_time:21145ms step_avg:45.87ms
step:462/1190 train_time:21202ms step_avg:45.89ms
step:463/1190 train_time:21250ms step_avg:45.90ms
step:464/1190 train_time:21308ms step_avg:45.92ms
step:465/1190 train_time:21355ms step_avg:45.93ms
step:466/1190 train_time:21413ms step_avg:45.95ms
step:467/1190 train_time:21461ms step_avg:45.95ms
step:468/1190 train_time:21517ms step_avg:45.98ms
step:469/1190 train_time:21565ms step_avg:45.98ms
step:470/1190 train_time:21622ms step_avg:46.01ms
step:471/1190 train_time:21670ms step_avg:46.01ms
step:472/1190 train_time:21728ms step_avg:46.03ms
step:473/1190 train_time:21776ms step_avg:46.04ms
step:474/1190 train_time:21834ms step_avg:46.06ms
step:475/1190 train_time:21882ms step_avg:46.07ms
step:476/1190 train_time:21939ms step_avg:46.09ms
step:477/1190 train_time:21987ms step_avg:46.09ms
step:478/1190 train_time:22044ms step_avg:46.12ms
step:479/1190 train_time:22092ms step_avg:46.12ms
step:480/1190 train_time:22150ms step_avg:46.15ms
step:481/1190 train_time:22198ms step_avg:46.15ms
step:482/1190 train_time:22255ms step_avg:46.17ms
