step:362/1190 train_time:16037ms step_avg:44.30ms
step:363/1190 train_time:16084ms step_avg:44.31ms
step:364/1190 train_time:16142ms step_avg:44.35ms
step:365/1190 train_time:16190ms step_avg:44.35ms
step:366/1190 train_time:16247ms step_avg:44.39ms
step:367/1190 train_time:16294ms step_avg:44.40ms
step:368/1190 train_time:16352ms step_avg:44.43ms
step:369/1190 train_time:16399ms step_avg:44.44ms
step:370/1190 train_time:16456ms step_avg:44.48ms
step:371/1190 train_time:16503ms step_avg:44.48ms
step:372/1190 train_time:16562ms step_avg:44.52ms
step:373/1190 train_time:16608ms step_avg:44.53ms
step:374/1190 train_time:16667ms step_avg:44.56ms
step:375/1190 train_time:16713ms step_avg:44.57ms
step:376/1190 train_time:16771ms step_avg:44.60ms
step:377/1190 train_time:16818ms step_avg:44.61ms
step:378/1190 train_time:16876ms step_avg:44.64ms
step:379/1190 train_time:16924ms step_avg:44.65ms
step:380/1190 train_time:16981ms step_avg:44.69ms
step:381/1190 train_time:17028ms step_avg:44.69ms
step:382/1190 train_time:17087ms step_avg:44.73ms
step:383/1190 train_time:17134ms step_avg:44.74ms
step:384/1190 train_time:17191ms step_avg:44.77ms
step:385/1190 train_time:17238ms step_avg:44.78ms
step:386/1190 train_time:17296ms step_avg:44.81ms
step:387/1190 train_time:17343ms step_avg:44.81ms
step:388/1190 train_time:17401ms step_avg:44.85ms
step:389/1190 train_time:17448ms step_avg:44.85ms
step:390/1190 train_time:17505ms step_avg:44.88ms
step:391/1190 train_time:17552ms step_avg:44.89ms
step:392/1190 train_time:17608ms step_avg:44.92ms
step:393/1190 train_time:17656ms step_avg:44.93ms
step:394/1190 train_time:17713ms step_avg:44.96ms
step:395/1190 train_time:17761ms step_avg:44.96ms
step:396/1190 train_time:17818ms step_avg:45.00ms
step:397/1190 train_time:17866ms step_avg:45.00ms
step:398/1190 train_time:17923ms step_avg:45.03ms
step:399/1190 train_time:17971ms step_avg:45.04ms
step:400/1190 train_time:18028ms step_avg:45.07ms
step:401/1190 train_time:18076ms step_avg:45.08ms
step:402/1190 train_time:18133ms step_avg:45.11ms
step:403/1190 train_time:18181ms step_avg:45.11ms
step:404/1190 train_time:18239ms step_avg:45.15ms
step:405/1190 train_time:18286ms step_avg:45.15ms
step:406/1190 train_time:18344ms step_avg:45.18ms
step:407/1190 train_time:18391ms step_avg:45.19ms
step:408/1190 train_time:18448ms step_avg:45.22ms
step:409/1190 train_time:18495ms step_avg:45.22ms
step:410/1190 train_time:18552ms step_avg:45.25ms
step:411/1190 train_time:18600ms step_avg:45.26ms
step:412/1190 train_time:18657ms step_avg:45.28ms
step:413/1190 train_time:18705ms step_avg:45.29ms
step:414/1190 train_time:18762ms step_avg:45.32ms
step:415/1190 train_time:18809ms step_avg:45.32ms
step:416/1190 train_time:18865ms step_avg:45.35ms
step:417/1190 train_time:18914ms step_avg:45.36ms
step:418/1190 train_time:18972ms step_avg:45.39ms
step:419/1190 train_time:19018ms step_avg:45.39ms
step:420/1190 train_time:19077ms step_avg:45.42ms
step:421/1190 train_time:19124ms step_avg:45.42ms
step:422/1190 train_time:19182ms step_avg:45.46ms
step:423/1190 train_time:19229ms step_avg:45.46ms
step:424/1190 train_time:19286ms step_avg:45.49ms
step:425/1190 train_time:19333ms step_avg:45.49ms
step:426/1190 train_time:19391ms step_avg:45.52ms
step:427/1190 train_time:19439ms step_avg:45.52ms
step:428/1190 train_time:19496ms step_avg:45.55ms
step:429/1190 train_time:19544ms step_avg:45.56ms
step:430/1190 train_time:19601ms step_avg:45.58ms
step:431/1190 train_time:19648ms step_avg:45.59ms
step:432/1190 train_time:19705ms step_avg:45.61ms
step:433/1190 train_time:19753ms step_avg:45.62ms
step:434/1190 train_time:19810ms step_avg:45.65ms
step:435/1190 train_time:19858ms step_avg:45.65ms
step:436/1190 train_time:19915ms step_avg:45.68ms
step:437/1190 train_time:19963ms step_avg:45.68ms
step:438/1190 train_time:20021ms step_avg:45.71ms
step:439/1190 train_time:20068ms step_avg:45.71ms
step:440/1190 train_time:20125ms step_avg:45.74ms
step:441/1190 train_time:20172ms step_avg:45.74ms
step:442/1190 train_time:20232ms step_avg:45.77ms
step:443/1190 train_time:20277ms step_avg:45.77ms
step:444/1190 train_time:20335ms step_avg:45.80ms
step:445/1190 train_time:20382ms step_avg:45.80ms
step:446/1190 train_time:20441ms step_avg:45.83ms
step:447/1190 train_time:20487ms step_avg:45.83ms
step:448/1190 train_time:20544ms step_avg:45.86ms
step:449/1190 train_time:20591ms step_avg:45.86ms
step:450/1190 train_time:20648ms step_avg:45.88ms
step:451/1190 train_time:20696ms step_avg:45.89ms
step:452/1190 train_time:20753ms step_avg:45.91ms
step:453/1190 train_time:20800ms step_avg:45.92ms
step:454/1190 train_time:20858ms step_avg:45.94ms
step:455/1190 train_time:20905ms step_avg:45.94ms
step:456/1190 train_time:20963ms step_avg:45.97ms
step:457/1190 train_time:21010ms step_avg:45.97ms
step:458/1190 train_time:21066ms step_avg:46.00ms
step:459/1190 train_time:21115ms step_avg:46.00ms
step:460/1190 train_time:21172ms step_avg:46.03ms
step:461/1190 train_time:21220ms step_avg:46.03ms
step:462/1190 train_time:21278ms step_avg:46.06ms
step:463/1190 train_time:21325ms step_avg:46.06ms
step:464/1190 train_time:21383ms step_avg:46.08ms
step:465/1190 train_time:21430ms step_avg:46.09ms
step:466/1190 train_time:21487ms step_avg:46.11ms
step:467/1190 train_time:21536ms step_avg:46.11ms
step:468/1190 train_time:21592ms step_avg:46.14ms
step:469/1190 train_time:21640ms step_avg:46.14ms
step:470/1190 train_time:21698ms step_avg:46.17ms
step:471/1190 train_time:21745ms step_avg:46.17ms
step:472/1190 train_time:21802ms step_avg:46.19ms
step:473/1190 train_time:21849ms step_avg:46.19ms
step:474/1190 train_time:21906ms step_avg:46.22ms
step:475/1190 train_time:21954ms step_avg:46.22ms
step:476/1190 train_time:22011ms step_avg:46.24ms
step:477/1190 train_time:22058ms step_avg:46.24ms
step:478/1190 train_time:22116ms step_avg:46.27ms
step:479/1190 train_time:22163ms step_avg:46.27ms
step:480/1190 train_time:22221ms step_avg:46.29ms
